Produced qty	Material	Registration date	Batch
245084.00000	7192679	2015-10-05 00:00:00	269979
343730.00000	7134908	2015-10-02 00:00:00	115535
213167.00000	7143940	2015-10-05 00:00:00	102832
201972.00000	7163258	2015-10-12 00:00:00	223490
1520594.00000	7134517	2015-10-12 00:00:00	466880
747144.00000	7142528	2015-06-29 00:00:00	110719
368508.00000	7130236	2015-06-30 00:00:00	61559
1941439.00000	7134517	2015-06-30 00:00:00	275652
230921.00000	7171897	2015-07-27 00:00:00	131905
132681.00000	7151276	2015-08-03 00:00:00	193293
477684.00000	7142528	2015-07-10 00:00:00	315676
320934.00000	7132069	2015-07-10 00:00:00	510216
39054.00000	7129998	2015-07-31 00:00:00	79917
192575.00000	7132379	2015-08-05 00:00:00	66590
3314661.00000	7132263	2015-08-18 00:00:00	123535
1213269.00000	7134517	2015-10-12 00:00:00	162160
246925.00000	7132379	2015-10-12 00:00:00	480751
1390929.00000	7155638	2015-11-05 00:00:00	305304
95536.00000	7135998	2015-11-05 00:00:00	374475
56018.00000	7160755	2015-11-05 00:00:00	154456
216512.00000	7130236	2015-11-03 00:00:00	497147
158835.00000	7151276	2015-11-25 00:00:00	257988
85712.00000	7169949	2015-11-26 00:00:00	462514
272407.00000	7142099	2015-11-24 00:00:00	375806
143481.00000	7165919	2015-11-24 00:00:00	183110
148102.00000	7138628	2016-01-21 00:00:00	14610
1208552.00000	7134517	2016-01-04 00:00:00	432891
3306679.00000	7139950	2015-08-27 00:00:00	420907
2298592.00000	7139950	2015-08-28 00:00:00	468087
3294681.00000	7139950	2015-09-03 00:00:00	36857
204505.00000	7132387	2016-01-19 00:00:00	259150
4822819.00000	7132271	2015-09-09 00:00:00	90155
102722.00000	7154402	2015-09-18 00:00:00	102301
342961.00000	7169957	2015-09-22 00:00:00	311067
119388.00000	7188374	2015-09-24 00:00:00	251971
282156.00000	7199570	2015-09-24 00:00:00	199752
2422373.00000	7139950	2015-11-30 00:00:00	473059
171860.00000	7142730	2015-11-18 00:00:00	202481
325818.00000	7130252	2015-11-26 00:00:00	336545
1895313.00000	7132271	2016-02-03 00:00:00	285827
2221821.00000	7139950	2015-09-03 00:00:00	459344
2660548.00000	7139950	2015-09-04 00:00:00	188079
756195.00000	7126867	2015-10-15 00:00:00	352340
1367497.00000	7138547	2016-01-13 00:00:00	72716
1088290.00000	7134525	2015-11-18 00:00:00	46652
2636856.00000	7139950	2015-09-14 00:00:00	526833
1044662.00000	7138547	2015-09-01 00:00:00	466101
3559227.00000	7139950	2015-09-28 00:00:00	62808
1434001.00000	7155646	2015-11-19 00:00:00	254218
923076.00000	7140010	2015-12-16 00:00:00	291506
249403.00000	7140134	2016-01-22 00:00:00	57733
3848500.00000	7139950	2015-10-01 00:00:00	333407
4653253.00000	7139950	2015-09-30 00:00:00	487621
1421361.00000	7134525	2015-11-19 00:00:00	95801
173243.00000	7136005	2016-03-14 00:00:00	278067
747083.00000	7172460	2016-01-19 00:00:00	324370
169261.00000	7142340	2016-01-25 00:00:00	223102
833773.00000	7155646	2016-02-05 00:00:00	20731
180975.00000	7160747	2016-02-04 00:00:00	521452
367041.00000	7154402	2016-02-10 00:00:00	343016
2306743.00000	7139950	2016-03-16 00:00:00	245277
470488.00000	7126867	2016-02-19 00:00:00	105547
1937068.00000	7155646	2016-02-22 00:00:00	253862
1693293.00000	7155646	2016-03-08 00:00:00	337390
333198.00000	7140010	2016-05-09 00:00:00	23557
172540.00000	7154410	2015-09-22 00:00:00	446382
3268395.00000	7149042	2015-10-08 00:00:00	473279
3345051.00000	7149042	2015-10-08 00:00:00	463904
2543909.00000	7149042	2015-10-15 00:00:00	117879
4149570.00000	7149042	2015-10-13 00:00:00	317049
3688480.00000	7139950	2015-09-28 00:00:00	57163
3063418.00000	7139950	2015-09-28 00:00:00	367264
2991015.00000	7139950	2015-09-30 00:00:00	420668
565591.00000	7134916	2016-01-19 00:00:00	39986
3002235.00000	7139950	2015-10-09 00:00:00	171686
3265510.00000	7139950	2015-10-14 00:00:00	144690
2159754.00000	7139950	2015-10-13 00:00:00	256148
114458.00000	7143770	2016-01-18 00:00:00	146812
113870.00000	7132794	2016-01-19 00:00:00	299059
1813283.00000	7139950	2015-10-20 00:00:00	365300
8968825.00000	7132271	2015-12-02 00:00:00	311207
3410497.00000	7139950	2015-10-29 00:00:00	416462
2598781.00000	7139950	2015-11-06 00:00:00	433377
1757233.00000	7139950	2015-11-13 00:00:00	65513
3392869.00000	7149042	2015-12-08 00:00:00	222989
1859184.00000	7149042	2015-10-30 00:00:00	100843
2046843.00000	7149042	2015-11-06 00:00:00	152946
85757.00000	7145365	2016-01-13 00:00:00	105955
123924.00000	7136013	2016-03-16 00:00:00	10081
55738.00000	7145365	2015-09-18 00:00:00	170544
3110730.00000	7149042	2015-10-15 00:00:00	186558
4549766.00000	7149042	2015-10-19 00:00:00	287639
2400159.00000	7149042	2015-10-19 00:00:00	171872
890407.00000	7149042	2016-02-19 00:00:00	272265
2414080.00000	7155654	2016-04-18 00:00:00	22197
3430964.00000	7139950	2015-11-13 00:00:00	6414
2846118.00000	7139950	2015-11-18 00:00:00	8000
1857878.00000	7139950	2015-11-19 00:00:00	423808
91722.00000	7145357	2015-11-24 00:00:00	21833
315747.00000	7130252	2016-02-19 00:00:00	41047
4649649.00000	7139950	2015-11-25 00:00:00	71114
2509738.00000	7139950	2015-11-25 00:00:00	14997
2141862.00000	7139950	2015-11-26 00:00:00	340176
