Material	Quantity	Batch
7191880	114	333874
7193095	64	529093
7193358	87	56576
7192534	52	530472
7192532	170	373070
7192240	47	217431
7192240	36	217431
7192266	114	512090
7196709	945	470224
7182317	246	367843
7196784	8195	447967
7185065	587	77448
7196814	5884	88852
7196814	3230	226328
7196814	762	32146
7196814	768	116561
7182295	156	462416
7196792	1217	244235
7198507	10316	146572
7198507	12820	424468
7197730	3371	224661
7197730	12402	516059
7197810	11680	491690
7197810	14757	489488
7192258	1	449021
7192258	4	449021
7184867	58	151028
7168829	20124	399889
7168810	4034	181354
7193298	45	3630
7176716	5148	464464
7168837	6930	86189
7168837	2728	500988
7122055	1220	488613
7169426	6053	296468
7169426	18037	324168
7168969	4134	367970
7168969	3226	331699
7168969	297	158659
7176724	7956	482799
7143656	5315	529617
7168233	2	251497
7168225	1	45162
7168225	2	44272
7119534	1072	450746
7069928	2754	114158
7124740	19476	238841
7073984	917	151210
7073968	1348	401425
7192729	14	215592
7119534	2973	491703
7192460	154	9018
7069928	42	282633
7069928	483	492081
7069928	2258	433813
7126123	5694	316258
7168241	6	481172
7097700	1568	405881
7191987	60	509929
7192206	548	258018
7192844	16	467776
7192203	80	313041
7192203	861	313041
7192531	2	143073
7192532	2	143751
7111428	4852	63532
7111428	3360	267872
7192460	46	349485
7192866	12	175455
7192485	109	482051
7192485	1	482051
7193358	159	183365
7135211	3296	114400
7124031	2581	522110
7192867	-1	14320
7192867	0	14320
7192867	-1	14320
7192867	9	14320
7192933	41	70335
7192933	5	70335
7192871	105	490226
7193361	137	108307
7192841	570	372456
7192841	230	372456
7192841	764	372456
7192841	47	372456
7168233	2	100986
7192505	3	486178
7192525	234	417468
7193599	2	498702
7192444	65	363001
7135211	4053	25735
7177127	279	238087
7177127	1078	238087
7193465	65	311641
7193086	240	293432
7186860	9210	422129
7192525	5988	5260
7126000	2392	448417
7193034	1498	489156
7191987	168	433392
7191839	404	526076
7191880	1	174514
7199090	1185	92723
7192203	567	382467
7192203	7146	382467
7192203	8224	382467
7192240	80	432944
7192258	14	195065
7192487	2081	276858
7192525	3893	238072
7192535	29	470914
7192536	27	517699
7192536	2	517699
7192536	-1	517699
7192537	11	367899
7192534	11	345185
7192960	49	279510
7192275	34	155390
7192272	0	283816
7197020	64	248261
7197020	4	248261
7192298	48	320793
7192297	16	197131
7192893	104	470304
7192299	12	493008
7192273	26	365973
7191286	2	399901
7191014	41	239951
7191014	84	239951
7197020	1	320777
7197020	18	9604
7197020	2	9604
7197020	209	9604
7197020	1	9604
7185383	55	464857
7193275	0	36472
7191138	31	67326
7190239	7	54691
7268610	28	214533
7170017	46	206127
7170017	2	206127
7183550	893	393260
7183550	26	393260
7182244	4	4556
7130694	342	407763
7403399	80	224691
7403399	15	254565
7403399	6916	357705
7266367	83	149145
7248385	5	411947
7266367	344	61168
7266367	-451	61168
7266367	2	233035
7266367	-71	233035
7266367	114	519767
7519150	6	173164
7193571	0	329302
7185243	429	263622
7197586	1	504409
7183542	8	285120
7184611	0	2724
7193384	1	520579
7193388	5	364979
7197519	297	110794
7193069	19	207818
7193065	25	375374
7193065	1419	375374
7185286	0	305958
7185235	40	83033
7197500	66	515919
7139527	2	270948
7185251	279	408389
7139535	4	276692
7184905	3	416505
7185294	1	251585
7174365	-660	516842
7185286	2	184087
7185286	2	390940
7185286	3	54634
7192097	1	514769
7193751	33	166632
7185286	2	73178
7193749	17	197750
7193379	813	438839
7193748	22	157552
7197500	0	270510
7197500	292	270510
7185286	1	437
7185286	2	180140
7185294	1	41098
7184905	1	420311
7185286	1	15365
7185286	1	107811
7192098	1	292989
7193747	8	141286
7185286	0	17631
7185286	3	178129
7253729	536	178129
7139527	16	456723
7184905	3	450467
7184620	0	271846
7185286	2	279239
7185286	1	517106
7185286	1	533772
